address,date,price,rating,restaurant,text
"26 SW 8th St, Miami, FL 33130",4/29/2018,$$$,4,Sushiato,"I had miso soup, seaweed salad and the vegan roll to go. They had my order ready when I picked up but I gave this one 4 stars based on value. My bill was $25 for these items and I felt that was a bit high. The restaurant is very nicely done inside, I will try it again."
"12590 SW 88th St, Miami, FL 33186",1/19/2018,$$,5,Pincho Factory,"Pincho Factory, no matter the location, always delivers! Each and every food item is a must-have. They are most popularly known for their Toston burger, but I love the Toston chicken sandwich with queso frito added the most. You can't go wrong with anything though. They are also vegan and vegetarian friendly with their veggie burgers or the rice bowls they have in a myriad of flavors (packed with plenty of veggies). I love the chimichurri bowl with chicken! Packed with bold flavor and the chicken is cooked just right. ,This location is one of the most recent that opened and they are consistent in terms of food quality and service. I love it here and highly recommend coming by for a burger or one of their rice bowls. ,You can also choose to buy sides separately. The tater tots are a huge hit (with good reason) and I suggest trying it with their cilantro aioli sauce vs the Apple butter it comes with. You won't regret it!"
"9804 SW 77th Ave, Miami, FL 33156",7/15/2016,$$,5,Raw South Juice,So glad I found this please thanks to a good friend who recommended it. I had the chicken wrap and it was delicious!! Love that there are gluten-free and vegan options for my husband. He had the black bean wrap with hummus and loved it. The owner and staff are very friendly. Hard to find a great place these days with great customer service. Can't wait to go back and try more things.
"9804 SW 77th Ave, Miami, FL 33156",10/31/2014,$$,5,Raw South Juice,"HIDDEN GEM! Just had lunch from this precious little spot and absolutely stuffed my face. You know how raw vegan usually leaves you wishing you were a tad fuller? Well my raw zucchini spaghetti hit the spot. It was like a deconstructed sun dried tomato hummus sans the tahini laid over a generous nest of dressed zucchini noodles. Very lemony and savory with the parsley and chickpeas. I'm satisfied!  the juice menu looks delicious too, you know I'll definitely be back for an açai bowl!!!,YES, total yes."
"9804 SW 77th Ave, Miami, FL 33156",10/15/2016,$$,4,Raw South Juice,"Cute little place that sells smoothies, salads, wraps & acai bowls.  Great for vegetarians & vegans.  My daughter order a monkey bowl & added stawberries to it.  They charge $0.75 for a to-go container.  I think the bowl was around $12.  It was a little pricey for the size but she enjoyed it.  A lot of the customers were regulars and knew to call ahead.  They still had to wait but no one complained.  Will come back to enjoy other items on the menu."
"9804 SW 77th Ave, Miami, FL 33156",1/21/2017,$$,5,Raw South Juice,"FINALLLYYYYY a juice /acai / vegan options place in Pinecrest. Place is TINY; they def need to expand; and it's like 3 people working there so it gets crowded fast, but the menu is on-point, fresh, wholesome, and varied enough to satisfy plant/meat eaters alike. They'll customize anything. My only complaint is that they need to get a bigger space!"
"9804 SW 77th Ave, Miami, FL 33156",11/25/2016,$$,5,Raw South Juice,"I was in the mood for something healthy in the midst of all this Black Friday craziness and what I found was an amazing tiny whole in the wall. This little treasure is heaven on earth for all you vegan/vegetarian/organic lovers. Now I see people complaining about the price, but you have to understand everything is organic, wild caught, non gmo, and REAL. The price should verify the authenticity for you, there's no way you're going to find a cheap all organic green place. It simply does not exist. But this place is worth the price, the wraps and juices are a good size and are all extremely filling. ,I had the soup of the day and a lentil wrap with hummus and it was soooo good! Filled with veggies and my tummy and body were so pleased. I also had the I Am Raw juice which is a green based juice that was also delicious. ,I can't wait to try their Acai bowls!! ,And the service was great. Very warm and welcoming and filled with good vibes."
"9804 SW 77th Ave, Miami, FL 33156",7/22/2017,$$,4,Raw South Juice,Love this place! The only issue I've encountered is the inconsistency of the food sometimes my vegan sandwich  is amazing and then the next day it isn't the same ... it's still good but not as good
"909 Brickell Ave, Miami, FL 33131",12/7/2016,$$,5,GreenLife Organic Bistro,"I started going here because of some health concerns.  Now,  every morning I get a delicious green smoothie here and for lunch I get a large organic salad with chicken. They also have great healthy snacks like their acai bowls and they are raw vegan cookies and chips. I'm not a health freak and I usually do not eat organic or vegan but this place is really good. Everything I've had there including the green smoothie is delicious.  I usually order online at their website and then just go in and pick it up."
"9804 SW 77th Ave, Miami, FL 33156",4/16/2018,$$,4,Raw South Juice,"Raw has filled a void in Miami for high quality delicious plant based food! I love that they're veggies are organic so I can finally have a salad outside of my house and not have to worry about  nasty fumigation chemicals or GMO's. My favorite thing to get here is their daily special. Even if you are not vegetarian you will like it. They are bowl style and no matter what they are, they are delicious! My favorite is their vegan ""turkey"" picadillo and the black rice! The salad portion in the bowl is always tasty and unique.,The lady at the counter is such a sweetheart, immediately makes you feel welcomed and answers any questions you may have. She has the best energy and I love to see her when I come here.,Raw South is the perfect place to go when looking for healthy delicious food!"
"9804 SW 77th Ave, Miami, FL 33156",11/30/2017,$$,4,Raw South Juice,"Best vegan and raw little spot ever! The owner is so nice and always there which is a great thing because she oversees it all which in my opinion is the best thing to me it means she cares customers are always satisfied.,Everything is FRESH! ,The blueberry acai bowl is sooooo amazing and she makes it look  beautiful I don't even want to eat it lol ,I've also tried the smoothie almonds forever and it AWESOME!!! ,Today I had the veggie soup, I must say it was very good! ,Everything is a must try! ,Updated 11/30 ,Still love the delicious food but a little disappointed with the amount of veggies I got in my salad that was $11. I got a decent scoop of tuna but not enough of the other veggies. I got a pinch of carrot (granted there is carrots in the tuna salad maybe another vegetable can be added) and maybe 6 tomatoes cut in half with 7 cucumbers. I still think it's Delicious but a little more veggies would be awesome. ,I paid $25 for a smoothie (mango pineapple with no banana) which was pretty good, tuna salad, and 2 chocolate chip cookies."
"9804 SW 77th Ave, Miami, FL 33156",1/17/2018,$$,3,Raw South Juice,"The staff members are hard-working, knowledgeable, and pleasant. It's helpful to have a vegan-friendly place in this area. However, I found the menu difficult to navigate because it does not clearly indicate which items contain animal parts/secretions. Benign-sounding ingredients in the monkey açaí bowl, for instance, are not vegan. Note that their peanut butter chips contain milk and their granola contains honey. When in doubt, ask! The açaí mixture was satisfying--and very cold, so I added coffee (which they don't have) from the bakery next door. That bakery also had some vegan desserts, like dates with cacao. A lovely match, which you can enjoy on one of the communal tables outside. This outdoor atmosphere is convenient, yet hectic. Be prepared to enjoy your organics amid exhaust fumes and honking from the intersection where the Palmetto Expressway, SW 77th Ave, and US1 converge."
"9804 SW 77th Ave, Miami, FL 33156",11/23/2016,$$,5,Raw South Juice,"Ugh! Juice bars and vegan restaurants are so misunderstood.,OK. Here is an explanation for prices. Everything is organic/non GMO. Some stuff is gluten free, and sugar is not used. Also, no animal products are used, unless you are getting a chicken/fish item. That includes ingredients like coconut/rice/hemp/soy/almond milk, vegan cheese, tofu, all that vegan/vegetarian stuff. And it also means raw/unfiltered honey, stevia root and other natural sweeteners. Don't take my word for it though. ASK!,But most important, it also means that the employees are getting paid a decent wage. ,I could keep going, but I will start going into more abstract subjects related to holistic healing and stuff like that. Anyway, the smoothies not only taste good, they make you happy. That is the power of organic foods, they deliver a different experience than normal produce.,Don't believe me? ,I guess you must try it then..."
