address,date,price,rating,restaurant,text
"7418 Biscayne Blvd, Miami, FL 33138",6/28/2015,$$,3,Ms Cheezious,"Grilled (cheese) sandwiches and fries are the only thing worth trying here. All other sides fall short and I wouldn't recommend ordering. Especially the Mac and cheese and vegan options - pretty bad. ,However if you want a great grilled cheese and fries this is the place!"
"7418 Biscayne Blvd, Miami, FL 33138",3/6/2017,$$,5,Ms Cheezious,"Some of the best comfort food in Miami! As someone who loves cheese but has sworn off dairy, I appreciate their vegan cheese options. They also have gluten free options for all their sandwiches too. Try the short rib! It's my favorite."
"2601 NW 2nd Ave, Miami, FL 33127",9/20/2016,$$,3,Wynwood Diner,"After trying to find a good brunch spot in wynwood we finally decided to go to the wynwood diner, and it was a ok decision. The first thing they got wrong was either the name ""diner"" or the fact they only served like 6 items on Sunday  brunch... I'm.sorry but I come from Nyc and our diners have everything. On top of that, one of friends is vegan, and there was nothing on the menu for her. Not one healthy choice for brunch. It amazed me that a hipster diner would not have any vegan dishes... Hmmmm odd. Now for the positives, the décor was pretty cool... Rustic and raw walls and retro décor. The noise level was normal and it is good for families. The pancakes were actually very good, and so was the coffee. The only thing is I wish they would offer a bigger menu and not a set selected menu for Sunday's."
"2506 NE 2nd Ave, Miami, FL 33137",3/8/2018,$$,5,Fuchai,"The food at this restaurant is amazing. Even vegetarian and vegan eaters will be in heaven here. I've tried soup, rice, and noodle dishes that are all delicious. If you like spicy the kimchi soup is a must try. If you haven't been to this restaurant yet please don't wait..... its so much tastier than anything they sell at 1800 Lucky and the service is 1 million times better."
"2506 NE 2nd Ave, Miami, FL 33137",6/11/2018,$$,5,Fuchai,"This is the type of food that was missing in Midtown/Wynwood and I'm glad they have vegetarian and vegan options. I had the veggie dumplings, stir fry tofu and the japchae with veggies. All was excellent and tasty, will come back soon for the fried rice!"
"7100 Biscayne Blvd, Miami, FL 33138",1/28/2017,$$,5,Phuc Yea,"I'm in love with this place. Dripping in charm and style, amazing and adventurous food, and the best service I've had in years. Creative, delicious items- loved the rolls, papaya salad, riceless jambalaya and fab wine selection. caters to all kinds of eaters including Vegan. We booked the semi private room for a bday dinner, they were super accommodating and made our night so special and fantastic. Look out for James if you're lucky enough for him to be your server; felt more like a personal concierge for  dinner and drinks! The spaces are super special- lantern garden had a nice party going. This is sure to be our new go to spot."
"7100 Biscayne Blvd, Miami, FL 33138",10/2/2017,$$,4,Phuc Yea,The real question is when are they gonna start serving vegan ramen because I've been waiting forever. Spring rolls and everything I've had has been delicious.
"2506 NE 2nd Ave, Miami, FL 33137",8/7/2018,$$,3,Fuchai,"This place is small, intimate and offers Chinese and Korean food, with an emphasis on Korean. Fuchai is ideal for that moment when your taste buds cry out for intense and varied flavors. The portions are plentiful, they offer soups, salads and options for vegetarians and vegans. During our visit we saw many people who asked for food to take home."
"2506 NE 2nd Ave, Miami, FL 33137",5/16/2018,$$,5,Fuchai,Great little mom n pop place - the food is amazing (see pictures attached). Is very small place so small groups (2-6) works best. They have some vegan vegetarian options. Not much of it but delicious
"7100 Biscayne Blvd, Miami, FL 33138",3/22/2018,$$,5,Phuc Yea,"Damn this place is good!!! (Didn't even have time to take a picture we inhaled it so fast! lol) Vegan options, gluten free options, even zero calorie noodles!! All the flavors were amazing! Would definitely recommend and come back again!"
