address,date,price,rating,restaurant,text
"10766 SW 24th St, Miami, FL 33165",3/2/2014,$,4,specialTEA Lounge,"The food here is delicious. The cococurry panini is my favorite. They have vegetarian and vegan options, which is a plus. Downsides: seating is limited, it's a bit pricey, and there can be very long lines and waiting times for food. They open at noon on weekdays; if they opened at 11:30 it would add a lot of lunchtime flexibility for those who attend/work at FIU, this restaurant's primary clientele."
"10766 SW 24th St, Miami, FL 33165",10/20/2014,$,5,specialTEA Lounge,"this is one of my FAVORITE places to go eat!!! I'm always craving it! the environment is really cute and cozy :-) definitely order the Vegan Coco Curry Panini and the Arnoldo Palmer, you wooon't be disappointed!"
"4740 NE 2nd Ave, Miami, FL 33137",3/3/2014,$$,5,Shokudo,"Great atmosphere without all the pretentiousness going on a little south of there in the DD. Friendly waitstaff and super friendly owner. Yes, the owner was there and working to make sure everything was enjoyable. I love when I'm eating at an establishment where an owner cares enough to be around. The service was quick, but not pushy. Each and every dish was excellent. I'm not sure what the name of the dish was, but it was one of the few vegan options...something curried. We ended up eating two of them...I also had the ramen soup. SOLD! It was awesome. The egg was perfectly poached...I'll have to remember to write down what we eat next time. I hope that next time is very soon. Great place and glad to see it is doing so well."
"10766 SW 24th St, Miami, FL 33165",5/4/2013,$,3,specialTEA Lounge,"Been coming to specialtea for a while now and it is great. Food and tea are fantastic and they have Sweetwater coffee! As a former Gainesvillian that keeps me perpetually excited. Great veggie and vegan options, great wraps and paninos, and great salads.,The service used to be slow but it seems like they have been working on that as the last few times I've been things have been great.,Updating my review:,I've been coming here for a couple years now and quality has progressively gone down while price has gone up and the menu has gotten smaller. Friendly, personal service that may have taken a little way has gone. Now you get faster service from people who don't care nearly as much and aren't as personable. It all makes me very sad."
"10766 SW 24th St, Miami, FL 33165",11/20/2012,$,5,specialTEA Lounge,"100% vegan friendly food, EXCELLENT service, delicious meals, amazing teas, great selection of baked goods, it doesn't get any better than this place. The atmosphere is great. The food is great. The prices are great. I wish I could go there every day."
"10766 SW 24th St, Miami, FL 33165",2/24/2012,$,5,specialTEA Lounge,"This is one of the few places in Miami you can find VEGAN desserts. Even more rare, they are delicious and affordable! Not only that, but the atmosphere here is amazing and the staff are extremely friendly. Top hangout spot for sure! Beats Starbucks any day"
"10766 SW 24th St, Miami, FL 33165",5/12/2014,$,5,specialTEA Lounge,Delicious! Beautiful on the inside. Had the coconut curry vegan style panini. 5 stars. Coming back. A subtly sweet and spicy taste.
"10766 SW 24th St, Miami, FL 33165",3/7/2012,$,5,specialTEA Lounge,"If you are looking for a chill place to have lunch by FIU or an early dinner, plus a bomb cup of coffee or tea, this is your place.  They have a wall of teas, vegan options, and the desserts are insanely decadent.,The food is AMAZING!!! Everything is made with organically, locally grown ingredients and lotsa love :)  Seriously, you haven't lived until you've had their Coco Curry Panini... chicken, cheese, bread, coconut dipping sauce... Who knew this was the perfect food marriage? , ,Every single person I have brought to this place falls in love with it and returns. The portions are big, the prices, comparably small to Starbucks. The food is always fresh. The eco-friendly restaurant is always clean. There are board games available for tables to play. Wifi is free for customers. ,It is owned by a couple, and they are always there working. The downside to this is the place is only open one shift. If they get sick, the restaurant does not open. They close Sundays. If they have an outta town weekend, SpecialTea is closed then too. This bothers some people quite a bit, but is easily remedied if you follow them on Facebook. They post their current hours (open and close later during the summer), days where they plan to be closed, and of course pictures of all their CRAZY-DELICIOUS baked goods. ,Go. ,Seriously."
"10766 SW 24th St, Miami, FL 33165",10/11/2012,$,5,specialTEA Lounge,"I love love loooove SpecialTEA!  My question is why aren't there more places in Miami like this???  There is a huge selection of teas, ranging from green, white, black, oolong, rooibos, honeybush, mate, and fruit tisanes.  Along the wall by the cash counter you can smell each of the tea leaf mixtures in tin cans.  But they also specialize in coffees, with all kinds of expresso, lattes, cappuccinos.  I'm not as big of a coffee fan as I am of tea, but man, it's a choice selection!  But wait, there's more, they have their cafe menu, and while I haven't ventured as much in trying their delish paninis and wraps... I've had their Coco-curry vegan (yes, you can make it vegan) spinach wrap, with that mmm-so-good coconut sauce. Oh my!  You will be salivating for more!  (I'm guilty, I've had it at least 3x now) ,There is a bit of a wait every time we go in, but that is because the owner is there taking orders and tailoring each customer's specific requests.  It's worth the wait.  When I step into this place, I'm gonna want to take my time and lounge!  It ain't no grab-in-go Starbucks!  ,Then there is the ambiance.  It's a cute and cozy place, but can get filled up pretty quickly. Still, it's a great place to get away to study, or take a break from studying and play a board game (they have a ton of games!  deluxe scrabble anyone?) ... yes, with your new-found favorite vegan wrap coupled with the gunpowder temple of heaven green tea, or honey vanilla white tea, or frozen rooibos red expresso, or, or... the list is pretty endless.  Do try it, your taste buds will thank you for it."
"10766 SW 24th St, Miami, FL 33165",6/30/2016,$,4,specialTEA Lounge,"SpecialTea Lounge is a unique, hipsteresque tea house that truly caters to college students. They have the best salads, panini's, and wraps in all of Westchester. They also have a wide selection of teas to chose from, both hot and cold, to accompany your meal. Every day they make fresh pastries such as cookies and croissants. They are also vegan friendly! They are open until late, and just recently started opening on Saturday's. With free wifi, board games, and communal book shelf, it's easy to see why college students love this location so much. The only thing that I would have to warn you about is wait times and seating. Depending on the time of day you decide to go, you may experience long lines and a long wait due to short staff. Also, there is limited seating so you will have to take your meal to go or sit outside (which in this Miami heat is the last resort). Other than that, I have to say that the ambiance, food, drinks, and music will have you returning back!"
